code barre 1 ou bien Qr code  article,code barre 2 ou bien Qr code article,code Article  OF,code article résumé,gamme,designation,qte unit,qte reg,redondance,controle
8012542348955,FSB1250C0017,FD30SB3C0004,906C4X16,EP100 300mA,4X16A,1,2,1,c
,,FHTIS81C0001,160C2X80,HTI 162,2X80A,0,6,1,c
,,FHTIS81C0002,160C2X100,HTI 162,2X100A,0,6,1,c
,,FHTIS81C0003,160C2X125,HTI 162,2X125A,0,6,1,c
,,FHTIS81C0004,160C3X80,HTI 163,3X80A,0,4,1,c
,,FHTIS81C0005,160C3X100,HTI 163,3X100A,0,4,1,c
,,FHTIS81C0006,160C3X125,HTI 163,3X125A,0,4,1,c
,,FHTIS81C0007,160C4X80,HTI 164,4X80A,0,3,1,c
,,FHTIS81C0008,160C4X100,HTI 164,4X100A,0,3,1,c
,,FHTIS81C0009,160C4X125,HTI 254,4X125A,0,3,1,c
,,FHTIS81C0010,250C4X80,HTI 254,4X80A,0,3,1,c
,,FHTIS81C0011,250C4X100,HTI 254,4X100A,0,3,1,c
,,FHTIS81C0012,250C4X125,HTI 254,4X125A,0,3,1,c
QR code siame,null,FSB1060B0001,602B1X10,EP60,1X10A,0,12,0,c
QR code siame,null,FSB1060B0002,602B2X10,EP60,2X10A,0,6,0,c
QR code siame,null,FSB1060B0003,602B3X10,EP60,3X10A,0,4,0,c
QR code siame,null,FSB1060B0004,602B4X10,EP60,4X10A,0,3,0,c
QR code siame,null,FSB1060B0005,602B1X16,EP60,1X16A,0,12,0,c
QR code siame,null,FSB1060B0006,602B2X16,EP60,2X16A,0,6,0,c
QR code siame,null,FSB1060B0007,602B3X16,EP60,3X16A,0,4,0,c
QR code siame,null,FSB1060B0008,602B4X16,EP60,4X16A,0,3,0,c
QR code siame,null,FSB1060B0009,602B1X20,EP60,1X20A,0,12,0,c
QR code siame,null,FSB1060B0010,602B2X20,EP60,2X20A,0,6,0,c
QR code siame,null,FSB1060B0011,602B3X20,EP60,3X20A,0,4,0,c
QR code siame,null,FSB1060B0012,602B4X20,EP60,4X20A,0,3,0,c
QR code siame,null,FSB1060B0013,602B1X25,EP60,1X25A,0,12,0,c
QR code siame,null,FSB1060B0014,602B2X25,EP60,2X25A,0,6,0,c
QR code siame,null,FSB1060B0015,602B3X25,EP60,3X25A,0,4,0,c
QR code siame,null,FSB1060B0016,602B4X25,EP60,4X25A,0,3,0,c
QR code siame,null,FSB1060B0017,602B1X32,EP60,1X32A,0,12,0,c
QR code siame,null,FSB1060B0018,602B2X32,EP60,2X32A,0,6,0,c
QR code siame,null,FSB1060B0019,602B3X32,EP60,3X32A,0,4,0,c
QR code siame,null,FSB1060B0020,602B4X32,EP60,4X32A,0,3,0,c
QR code siame,null,FSB1060B0021,602B1X40,EP60,1X40A,0,12,0,c
QR code siame,null,FSB1060B0022,602B2X40,EP60,2X40A,0,6,0,c
QR code siame,null,FSB1060B0023,602B3X40,EP60,3X40A,0,4,0,c
QR code siame,null,FSB1060B0024,602B4X40,EP60,4X40A,0,3,0,c
QR code siame,null,FSB1060B0025,602B1X50,EP60,1X50A,0,12,0,c
QR code siame,null,FSB1060B0026,602B2X50,EP60,2X50A,0,6,0,c
QR code siame,null,FSB1060B0027,602B3X50,EP60,3X50A,0,4,0,c
QR code siame,null,FSB1060B0028,602B4X50,EP60,4X50A,0,3,0,c
QR code siame,null,FSB1060B0029,602B1X63,EP60,1X63A,0,12,0,c
QR code siame,null,FSB1060B0030,602B2X63,EP60,2X63A,0,6,0,c
QR code siame,null,FSB1060B0031,602B3X63,EP60,3X63A,0,4,0,c
QR code siame,null,FSB1060B0032,602B4X63,EP60,4X63A,0,3,0,c
QR code siame,null,FSB1060C0001,602C1X10,EP60,1X10A,0,12,0,c
QR code siame,null,FSB1060C0002,602C2X10,EP60,2X10A,0,6,0,c
QR code siame,null,FSB1060C0003,602C3X10,EP60,3X10A,0,4,0,c
QR code siame,null,FSB1060C0004,602C4X10,EP60,4X10A,0,3,0,c
QR code siame,null,FSB1060C0005,602C1X16,EP60,1X16A,0,12,0,c
QR code siame,null,FSB1060C0006,602C2X16,EP60,2X16A,0,6,0,c
QR code siame,null,FSB1060C0007,602C3X16,EP60,3X16A,0,4,0,c
QR code siame,null,FSB1060C0008,602C4X16,EP60,4X16A,0,3,0,c
QR code siame,null,FSB1060C0009,602C1X20,EP60,1X20A,0,12,0,c
QR code siame,null,FSB1060C0010,602C2X20,EP60,2X20A,0,6,0,c
QR code siame,null,FSB1060C0011,602C3X20,EP60,3X20A,0,4,0,c
QR code siame,null,FSB1060C0012,602C4X20,EP60,4X20A,0,3,0,c
QR code siame,null,FSB1060C0013,602C1X25,EP60,1X25A,0,12,0,c
QR code siame,null,FSB1060C0014,602C2X25,EP60,2X25A,0,6,0,c
QR code siame,null,FSB1060C0015,602C3X25,EP60,3X25A,0,4,0,c
QR code siame,null,FSB1060C0016,602C4X25,EP60,4X25A,0,3,0,c
QR code siame,null,FSB1060C0017,602C1X32,EP60,1X32A,0,12,0,c
QR code siame,null,FSB1060C0018,602C2X32,EP60,2X32A,0,6,0,c
QR code siame,null,FSB1060C0019,602C3X32,EP60,3X32A,0,4,0,c
QR code siame,null,FSB1060C0020,602C4X32,EP60,4X32A,0,3,0,c
QR code siame,null,FSB1060C0021,602C1X40,EP60,1X40A,0,12,0,c
QR code siame,null,FSB1060C0022,602C2X40,EP60,2X40A,0,6,0,c
QR code siame,null,FSB1060C0023,602C3X40,EP60,3X40A,0,4,0,c
QR code siame,null,FSB1060C0024,602C4X40,EP60,4X40A,0,3,0,c
QR code siame,null,FSB1060C0025,602C1X50,EP60,1X50A,0,12,0,c
QR code siame,null,FSB1060C0026,602C2X50,EP60,2X50A,0,6,0,c
