code,resume,gamme,des,qte_u,qte_reg,des,contrôle
FD03SB3C0006,936C2X20,EP250 30mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP250 25KA CC 4M 30mA,c
FD03SB3C0007,936C4X25,EP250 30mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP250 25KA CC 6M 30mA,c
FD03SB3C0008,936C2X25,EP250 30mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP250 25KA CC 4M 30mA,c
FD03SB3C0009,936C4X25,EP250 30mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP250 25KA CC 6M 30mA,c
FD03SB3C0010,936C2X32,EP250 30mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP250 20KA CC 4M 30mA,c
FD03SB3C0011,936C4X32,EP250 30mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP250 20KA CC 6M 30mA,c
FD03SB3C0012,936C2X32,EP250 30mA,2X32A,1,3,Disjoncteur Diff. 2X40A EP250 20KA CC 4M 30mA,c
FD03SB3C0013,936C4X40,EP250 30mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP250 20KA CC 8M 30mA,c
FD03SB3C0014,936C2X32,EP250 30mA,2X32A,1,3,Disjoncteur Diff. 2X50A EP250 15KA CC 4M 30mA,c
FD03SB3C0015,936C4X50,EP250 30mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP250 15KA CC 8M 30mA,c
FD03SB3C0016,936C2X32,EP250 30mA,2X32A,1,3,Disjoncteur Diff. 2X63A EP250 15KA CC 4M 30mA,c
FD03SB3C0017,936C4X63,EP250 30mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP250 15KA CC 8M 30mA,c
FD30DDA80001,400C4X00,HTI 300mA 16kA,4x100A,1,0,DIFF HTI CC 4X100 16kA 300MA,c
FD30DDA80002,400C4X80,HTI 300mA 16kA,4x80A,1,0,DIFF HTI CC 4X80 16kA 300MA,c
FD30DDA80003,400C4X080,HTI 300mA 25kA,4x80A,1,0,DIFF HTI CC 4X80 25kA 300MA,c
FD30DDA80004,400C4X100,HTI 300mA 25kA,4x100A,1,0,DIFF HTI CC 4X100 25kA 300MA,c
FD30DS1C0001,907C2X16,DP60  300mA,2X16A,0,6,DISJ. DIFF MONOB. 2M DP60 2x16 300MA 6KA C,c
FD30DS1C0002,907C2X20,DP60  300mA,2X20A,0,6,DISJ. DIFF MONOB. 2M DP60 2x20 300MA 6KA C,c
FD30DS1C0003,907C2X25,DP60  300mA,2X25A,0,6,DISJ. DIFF MONOB. 2M DP60 2x25 300MA 6KA C,c
FD30DS1C0004,907C2X32,DP60  300mA,2X32A,0,6,DISJ. DIFF MONOB. 2M DP60 2x32 300MA 6KA C,c
FD30DS1C0005,907C2X10,DP60  300mA,2X10A,0,6,DISJ. DIFF MONOB. 2M DP60 2x10 300MA 6KA C,c
FD30SB1B0001,902B2X10,EP60 300mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP60 06KA CB 4M 300mA,c
FD30SB1B0002,902B4X10,EP60 300mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP60 06KA CB 6M 300mA,c
FD30SB1B0003,902B2X16,EP60 300mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP60 06KA CB 4M 300mA,c
FD30SB1B0004,902B4X16,EP60 300mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP60 06KA CB 6M 300mA,c
FD30SB1B0005,902B2X20,EP60 300mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP60 06KA CB 4M 300mA,c
FD30SB1B0006,902B4X20,EP60 300mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP60 06KA CB 6M 300mA,c
FD30SB1B0007,902B2X25,EP60 300mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP60 06KA CB 4M 300mA,c
FD30SB1B0008,902B4X25,EP60 300mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP60 06KA CB 6M 300mA,c
FD30SB1B0009,902B2X32,EP60 300mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP60 06KA CB 4M 300mA,c
FD30SB1B0010,902B4X32,EP60 300mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP60 06KA CB 6M 300mA,c
FD30SB1B0011,902B2X40,EP60 300mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP60 06KA CB 4M 300mA,c
FD30SB1B0012,902B4X40,EP60 300mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP60 06KA CB 8M 300mA,c
FD30SB1B0013,902B2X50,EP60 300mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP60 06KA CB 4M 300mA,c
FD30SB1B0014,902B4X50,EP60 300mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP60 06KA CB 8M 300mA,c
FD30SB1B0015,902B2X63,EP60 300mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP60 06KA CB 4M 300mA,c
FD30SB1B0016,902B4X63,EP60 300mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP60 06KA CB 8M 300mA,c
FD30SB1C0001,902C2X10,EP60 300mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP60 6KA CC 4M 300mA,c
FD30SB1C0002,902C4X10,EP60 300mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP60 6KA CC 6M 300mA,c
